file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv
0000000127.bmp,3,9,4,1,0,0,0,0
0000000128.bmp,9,8,4,1,0,0,0,0
0000000129.bmp,1,7,4,1,0,0,0,0
0000000130.bmp,17,6,4,1,0,0,0,0
0000000131.bmp,7,5,4,1,0,0,0,0
0000000132.bmp,5,12,4,1,0,0,0,0
0000000133.bmp,8,4,4,1,0,0,0,0
0000000134.bmp,11,3,4,1,0,0,0,0
0000000135.bmp,15,2,4,1,0,0,0,0
0000000136.bmp,13,1,4,1,0,0,0,0
0000000137.bmp,12,11,4,1,0,0,0,0
0000000138.bmp,19,10,4,1,0,0,0,0
0000000139.bmp,3,9,4,1,0,0,0,0
0000000140.bmp,9,8,4,1,0,0,0,0
0000000141.bmp,1,7,4,1,0,0,0,0
0000000142.bmp,17,6,4,1,0,0,0,0
0000000143.bmp,7,5,4,1,0,0,0,0
0000000144.bmp,5,12,4,1,0,0,0,0
0000000145.bmp,5,4,5,1,0,0,0,0
0000000146.bmp,12,3,5,1,0,0,0,0
0000000147.bmp,19,2,5,1,0,0,0,0
0000000148.bmp,3,1,5,1,0,0,0,0
0000000149.bmp,9,11,5,1,0,0,0,0
0000000150.bmp,8,10,5,1,0,0,0,0
0000000151.bmp,7,9,5,1,0,0,0,0
0000000152.bmp,11,8,5,1,0,0,0,0
0000000153.bmp,1,7,5,1,0,0,0,0
0000000154.bmp,13,6,5,1,0,0,0,0
0000000155.bmp,15,5,5,1,0,0,0,0
0000000156.bmp,17,12,5,1,0,0,0,0
0000000157.bmp,5,4,5,1,0,0,0,0
0000000158.bmp,12,3,5,1,0,0,0,0
0000000159.bmp,19,2,5,1,0,0,0,0
0000000160.bmp,3,1,5,1,0,0,0,0
0000000161.bmp,9,11,5,1,0,0,0,0
0000000162.bmp,8,10,5,1,0,0,0,0
0000000163.bmp,7,9,5,1,0,0,0,0
0000000164.bmp,11,8,5,1,0,0,0,0
0000000165.bmp,1,7,5,1,0,0,0,0
0000000166.bmp,13,6,5,1,0,0,0,0
0000000167.bmp,15,5,5,1,0,0,0,0
0000000168.bmp,17,12,5,1,0,0,0,0
0000000169.bmp,5,4,5,1,0,0,0,0
0000000170.bmp,12,3,5,1,0,0,0,0
0000000171.bmp,19,2,5,1,0,0,0,0
0000000172.bmp,3,1,5,1,0,0,0,0
0000000173.bmp,9,11,5,1,0,0,0,0
0000000174.bmp,8,10,5,1,0,0,0,0
0000000175.bmp,7,9,5,1,0,0,0,0
0000000176.bmp,11,8,5,1,0,0,0,0
0000000177.bmp,1,7,5,1,0,0,0,0
0000000178.bmp,13,6,5,1,0,0,0,0
0000000179.bmp,15,5,5,1,0,0,0,0
0000000180.bmp,17,12,5,1,0,0,0,0
0000000181.bmp,11,4,6,1,0,0,0,0
0000000182.bmp,15,3,6,1,0,0,0,0
0000000183.bmp,13,2,6,1,0,0,0,0
0000000184.bmp,19,1,6,1,0,0,0,0
0000000185.bmp,8,11,6,1,0,0,0,0
0000000186.bmp,3,10,6,1,0,0,0,0
0000000187.bmp,17,9,6,1,0,0,0,0
0000000188.bmp,5,8,6,1,0,0,0,0
0000000189.bmp,9,7,6,1,0,0,0,0
0000000190.bmp,1,6,6,1,0,0,0,0
0000000191.bmp,7,5,6,1,0,0,0,0
0000000192.bmp,12,12,6,1,0,0,0,0
0000000193.bmp,11,4,6,1,0,0,0,0
0000000194.bmp,15,3,6,1,0,0,0,0
